```
company_id,quarter,revenue,expenses,profit,industry,market_cap,employees,r_and_d_spend,debt
COMP-000000,2024-Q4,12432145.67,7465892.34,4966253.33,Technology,250000000.00,5000,1243214.57,125000000.00
COMP-000001,2024-Q3,9876543.21,5925925.93,3950617.28,Healthcare,,25000,987654.32,750000000.50
COMP-000002,2024-Q2,11098765.43,6659259.26,4439506.17,Retail,1500000000.50,7500,1109876.54,300000000.75
COMP-000003,2024-Q1,13245678.90,7947407.34,5298271.56,Finance,500000000.00,10000,1324567.89,400000000.00
COMP-000004,2025-Q1,,6296296.30,4197530.87,Manufacturing,750000000.50,12500,1049382.17,225000000.25
COMP-000005,2024-Q4,9567890.12,5740734.07,3827156.05,Sales,300000000.00,15000,956789.01,240000000.00
COMP-000006,2024-Q3,10876543.21,6525925.93,4350617.28,Engineering,600000000.00,20000,1087654.32,360000000.00
COMP-000007,2024-Q2,12345678.90,7407407.34,4938271.56,HR,900000000.50,30000,1234567.89,540000000.25
COMP-000008,2024-Q1,10123456.78,6074074.07,4049382.71,Marketing,400000000.00,5000,1012345.68,200000000.00
COMP-000009,2025-Q1,11456789.01,,4578271.56,Finance,800000000.50,7500,1145678.90,640000000.25
COMP-000010,2024-Q4,9765432.10,5859259.26,3906172.84,Technology,350000000.00,10000,976543.21,175000000.00
COMP-000011,2024-Q3,11987654.32,7192592.59,4795061.73,Healthcare,700000000.50,12500,1198765.43,420000000.25
COMP-000012,2024-Q2,10543210.98,6325926.59,4217274.39,Retail,450000000.00,15000,1054321.10,225000000.00
COMP-000013,2024-Q1,12789012.34,7673407.40,5115604.94,Finance,950000000.50,20000,1278901.23,760000000.25
COMP-000014,2025-Q1,9987654.32,5992592.59,3995061.73,Manufacturing,500000000.00,30000,998765.43,250000000.00
COMP-000015,2024-Q4,11234567.89,6740740.73,4493827.16,Sales,,5000,1123456.79,300000000.00
COMP-000016,2024-Q3,10321098.76,6192659.26,4128439.50,Engineering,650000000.50,7500,1032109.88,390000000.25
COMP-000017,2024-Q2,11876543.21,7125925.93,4750617.28,HR,300000000.00,10000,1187654.32,180000000.00
COMP-000018,2024-Q1,10098765.43,6059259.26,4039506.17,Marketing,850000000.50,12500,1009876.54,680000000.25
COMP-000019,2025-Q1,12456789.01,7474074.07,4982714.94,Finance,400000000.00,15000,1245678.90,200000000.00
COMP-000020,2024-Q4,9732109.87,5839265.92,3892843.95,Technology,750000000.50,20000,973210.99,450000000.25
COMP-000021,2024-Q3,11654321.09,6992592.65,4661728.44,Healthcare,550000000.00,30000,1165432.11,275000000.00
COMP-000022,2024-Q2,10234567.89,6140740.73,4083827.16,Retail,900000000.50,5000,1023456.79,720000000.25
COMP-000023,2024-Q1,12109876.54,7265925.92,4833930.62,Finance,350000000.00,7500,1210987.65,175000000.00
COMP-000024,2025-Q1,10765432.10,6459259.26,4306172.84,Manufacturing,800000000.50,10000,1076543.21,640000000.25
COMP-000025,2024-Q4,12987654.32,,5195061.73,Sales,450000000.00,12500,1298765.43,225000000.00
COMP-000026,2024-Q3,9943210.98,5965926.59,3977284.39,Engineering,950000000.50,15000,994321.10,760000000.25
COMP-000027,2024-Q2,11543210.98,6925926.59,4617284.39,HR,500000000.00,20000,1154321.10,250000000.00
COMP-000028,2024-Q1,10198765.43,6119259.26,4079506.17,Marketing,700000000.50,30000,1019876.54,420000000.25
COMP-000029,2025-Q1,12345678.90,7407407.34,4938271.56,Finance,300000000.00,5000,1234567.89,180000000.00
COMP-000030,2024-Q4,9789012.34,5873407.40,3915604.94,Technology,850000000.50,7500,978901.23,680000000.25
COMP-000031,2024-Q3,11789012.34,7073407.40,4715604.94,Healthcare,400000000.00,10000,1178901.23,200000000.00
COMP-000032,2024-Q2,10432109.87,6259265.92,4172843.95,Retail,750000000.50,12500,1043210.99,450000000.25
COMP-000033,2024-Q1,11987654.32,7192592.59,4795061.73,Finance,550000000.00,15000,1198765.43,275000000.00
COMP-000034,2025-Q1,10043210.98,6025926.59,4017284.39,Manufacturing,900000000.50,20000,1004321.10,720000000.25
COMP-000035,2024-Q4,12567890.12,7540734.07,5027156.05,Sales,350000000.00,30000,1256789.01,175000000.00
COMP-000036,2024-Q3,9923456.78,5954074.07,3969382.71,Engineering,800000000.50,5000,992345.68,640000000.25
COMP-000037,2024-Q2,11456789.01,6874074.07,4582714.94,HR,450000000.00,7500,1145678.90,225000000.00
COMP-000038,2024-Q1,10123456.78,6074074.07,4049382.71,Marketing,950000000.50,10000,1012345.68,760000000.25
COMP-000039,2025-Q1,,7474074.07,4982714.94,Finance,500000000.00,12500,1245678.90,250000000.00
COMP-000040,2024-Q4,9765432.10,5859259.26,3906172.84,Technology,700000000.50,15000,976543.21,420000000.25
COMP-000041,2024-Q3,11876543.21,7125925.93,4750617.28,Healthcare,300000000.00,20000,1187654.32,180000000.00
COMP-000042,2024-Q2,10543210.98,6325926.59,4217274.39,Retail,850000000.50,30000,1054321.10,680000000.25
COMP-000043,2024-Q1,12109876.54,7265925.92,4833930.62,Finance,400000000.00,5000,1210987.65,200000000.00
COMP-000044,2025-Q1,10765432.10,6459259.26,4306172.84,Manufacturing,750000000.50,7500,1076543.21,450000000.25
COMP-000045,2024-Q4,12987654.32,7792592.59,5195061.73,Sales,550000000.00,10000,1298765.43,275000000.00
COMP-000046,2024-Q3,9943210.98,5965926.59,3977284.39,Engineering,900000000.50,12500,994321.10,720000000.25
COMP-000047,2024-Q2,11543210.98,6925926.59,4617284.39,HR,350000000.00,15000,1154321.10,175000000.00
COMP-000048,2024-Q1,10198765.43,6119259.26,4079506.17,Marketing,800000000.50,20000,1019876.54,640000000.25
COMP
