```
employee_id,department,salary
EMP-000000,Engineering,62432.45
EMP-000001,HR,58765.32
EMP-000002,Sales,
EMP-000003,Marketing,64321.78
EMP-000004,Finance,59876.54
EMP-000005,Sales,57654.32
EMP-000006,Engineering,61234.56
EMP-000007,HR,63789.01
EMP-000008,Marketing,58456.78
EMP-000009,Finance,62012.34
EMP-000010,Sales,
EMP-000011,Engineering,56789.01
EMP-000012,HR,60345.67
EMP-000013,Marketing,62901.23
EMP-000014,Finance,57456.78
EMP-000015,Sales,61012.34
EMP-000016,Engineering,64567.89
EMP-000017,HR,59234.56
EMP-000018,Marketing,61890.12
EMP-000019,Finance,57345.67
EMP-000020,Sales,60901.23
EMP-000021,Engineering,63456.78
EMP-000022,HR,58123.45
EMP-000023,Marketing,61789.01
EMP-000024,Finance,56345.67
EMP-000025,Sales,62890.12
EMP-000026,Engineering,59567.89
EMP-000027,HR,62134.56
EMP-000028,Marketing,58690.12
EMP-000029,Finance,61245.67
EMP-000030,Sales,63801.23
EMP-000031,Engineering,58456.78
EMP-000032,HR,61012.34
EMP-000033,Marketing,57567.89
EMP-000034,Finance,60123.45
EMP-000035,Sales,62678.90
EMP-000036,Engineering,59345.67
EMP-000037,HR,61901.23
EMP-000038,Marketing,56456.78
EMP-000039,Finance,
EMP-000040,Sales,61112.34
EMP-000041,Engineering,63667.89
EMP-000042,HR,58334.56
EMP-000043,Marketing,60890.12
EMP-000044,Finance,57445.67
EMP-000045,Sales,60001.23
EMP-000046,Engineering,62556.78
EMP-000047,HR,59123.45
EMP-000048,Marketing,61678.90
EMP-000049,Finance,58234.56
```
